Название карты;ID карты; Тип карты; Пост ; Время начала; Длительность; Остаток
Слоним. 15%; Id=066.20597; бонусная ; 4; 2025-01-09 19:10:29 ; 0; --
Слоним. 15%; Id=066.20597; бонусная ; 4; 2025-01-09 19:10:33 ; 0; --
Слоним. 15%; Id=066.20597; бонусная ; 4; 2025-01-09 19:10:37 ; 0; --
Слоним. 15%; Id=066.20597; бонусная ; 3; 2025-01-09 19:10:59 ; 0; --
Слоним. 15%; Id=066.20597; бонусная ; 2; 2025-01-09 19:12:13 ; 0; --
Слоним. 15%; Id=066.20597; безлимитная ; 4; 2025-01-09 19:27:34 ; 0; --
Слоним. 15%; Id=066.20597; безлимитная ; 4; 2025-01-09 19:27:42 ; 0; --
Слоним. 15%; Id=066.20597; безлимитная ; 4; 2025-01-09 19:27:46 ; 0; --
Слоним. 15%; Id=066.20597; безлимитная ; 3; 2025-01-09 19:27:57 ; 0; --
Слоним. 15%; Id=066.20597; безлимитная ; 3; 2025-01-09 19:28:04 ; 0; --
Слоним. 15%; Id=066.20597; безлимитная ; 2; 2025-01-09 19:28:14 ; 0; --
Слоним. 15%; Id=066.20597; безлимитная ; 2; 2025-01-09 19:28:20 ; 0; --
Слоним. 15%; Id=066.20597; безналичная ; 4; 2025-01-09 19:31:23 ; 36610; 5492
Слоним. 15%; Id=066.20597; безналичная ; 4; 2025-01-09 19:31:36 ; 5492; 824
Слоним. 15%; Id=066.20597; безналичная ; 2; 2025-01-09 19:32:18 ; 824; 124
Слоним. 15%; Id=066.20597; безналичная ; 3; 2025-01-09 19:33:48 ; 124; 19
Слоним. 15%; Id=066.20597; безналичная ; 3; 2025-01-09 19:34:24 ; 19; 3
Слоним. 15%; Id=066.20597; безналичная ; 3; 2025-01-09 19:34:49 ; 3; 0
Слоним. 15%; Id=066.20597; безналичная ; 2; 2025-01-09 19:50:01 ; 36610; 334982
Слоним. БН; Id=066.20599; безлимитная ; 2; 2025-01-09 19:09:27 ; 0; --
Слоним. БН; Id=066.20599; безлимитная ; 3; 2025-01-09 19:09:40 ; 0; --
Слоним. БН; Id=066.20599; безлимитная ; 4; 2025-01-09 19:09:59 ; 0; --
Слоним. БН; Id=066.20599; безлимитная ; 3; 2025-01-09 19:12:53 ; 0; --
Слоним. БН; Id=066.20599; безлимитная ; 3; 2025-01-09 19:50:26 ; 360000; --
Слоним. БН; Id=066.20599; безлимитная ; 3; 2025-01-09 19:50:45 ; 360000; --
Слоним. БН; Id=066.20599; безналичная ; 4; 2025-01-09 20:34:42 ; 120; 7080
Слоним. БН; Id=066.20599; безналичная ; 4; 2025-01-09 20:35:12 ; 120; 6960
Слоним. БН; Id=066.20599; безналичная ; 4; 2025-01-09 20:35:43 ; 120; 6840
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-09 20:35:55 ; 120; 6720
Слоним. БН; Id=066.20599; безналичная ; 2; 2025-01-09 20:36:05 ; 120; 6600
Слоним. БН; Id=066.20599; безналичная ; 4; 2025-01-13 12:09:31 ; 120; 6480
Слоним. БН; Id=066.20599; безналичная ; 4; 2025-01-13 12:09:52 ; 120; 6360
Слоним. БН; Id=066.20599; безналичная ; 4; 2025-01-13 12:10:06 ; 120; 6240
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 11:30:31 ; 120; 6120
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 11:35:08 ; 120; 6000
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 11:35:27 ; 120; 5880
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 11:35:40 ; 120; 5760
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 11:41:54 ; 120; 5640
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 11:42:07 ; 120; 5520
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 11:51:16 ; 120; 5400
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 11:59:38 ; 120; 5280
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 12:01:49 ; 120; 5160
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 12:05:25 ; 120; 5040
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 12:11:59 ; 120; 4920
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 12:20:04 ; 120; 4800
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-14 12:22:10 ; 120; 4680
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-18 17:42:43 ; 120; 4560
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-18 17:43:02 ; 120; 4440
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-18 17:43:19 ; 120; 4320
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-18 17:47:23 ; 120; 4200
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-18 17:50:49 ; 120; 4080
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-19 11:35:19 ; 120; 3960
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-19 11:35:55 ; 120; 3840
Слоним. БН; Id=066.20599; безналичная ; 4; 2025-01-19 14:47:00 ; 120; 3720
Слоним. БН; Id=066.20599; безналичная ; 2; 2025-01-19 17:39:46 ; 180; 3540
Слоним. БН; Id=066.20599; безналичная ; 2; 2025-01-19 17:41:29 ; 180; 3360
Слоним. БН; Id=066.20599; безналичная ; 2; 2025-01-19 17:48:15 ; 180; 3180
Слоним. БН; Id=066.20599; безналичная ; 2; 2025-01-19 17:48:30 ; 180; 3000
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-19 17:54:02 ; 180; 2820
Слоним. БН; Id=066.20599; безналичная ; 2; 2025-01-19 18:00:18 ; 180; 2640
Слоним. БН; Id=066.20599; безналичная ; 2; 2025-01-19 18:00:32 ; 180; 2460
Слоним. БН; Id=066.20599; безналичная ; 2; 2025-01-19 18:03:53 ; 180; 2280
Слоним. БН; Id=066.20599; безналичная ; 2; 2025-01-19 18:10:35 ; 180; 2100
Слоним. БН; Id=066.20599; безналичная ; 3; 2025-01-19 18:17:09 ; 180; 1920
Слоним. БН; Id=066.20599; безналичная ; 2; 2025-01-19 18:18:10 ; 180; 1740
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-22 17:56:10 ; 180; 1560
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-22 17:58:13 ; 180; 1380
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-22 18:02:57 ; 180; 1200
Слоним. БН гусенок; Id=066.20599; безналичная ; 3; 2025-01-24 19:10:06 ; 180; 1020
Слоним. БН гусенок; Id=066.20599; безналичная ; 3; 2025-01-24 19:10:21 ; 180; 840
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-24 19:10:58 ; 180; 660
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-24 19:11:30 ; 180; 480
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-24 19:16:01 ; 180; 300
Слоним. БН гусенок; Id=066.20599; безналичная ; 3; 2025-01-24 19:16:41 ; 180; 120
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-24 19:20:22 ; 120; 0
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-27 15:55:18 ; 180; 17820
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-27 15:55:35 ; 180; 17640
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-27 16:01:27 ; 180; 17460
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-28 15:35:22 ; 180; 17280
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-28 15:35:33 ; 180; 17100
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-28 15:44:19 ; 180; 16920
Слоним. БН гусенок; Id=066.20599; безналичная ; 2; 2025-01-28 15:47:35 ; 180; 16740
Слоним. БН гусенок; Id=066.20599; безналичная ; 3; 2025-01-28 15:51:32 ; 180; 16560
Слоним. 40%; Id=066.20601; бонусная ; 3; 2025-01-09 19:11:12 ; 0; --
Слоним. 40%; Id=066.20601; бонусная ; 2; 2025-01-09 19:11:55 ; 0; --
Слоним. 30%; Id=066.20603; бонусная ; 4; 2025-01-09 19:10:17 ; 0; --
Слоним. 30%; Id=066.20603; бонусная ; 3; 2025-01-09 19:11:05 ; 0; --
Слоним. 30% мульти2; Id=144.37834; бонусная ; 3; 2025-01-25 14:09:09 ; 0; --
Слоним. 30% мульти2; Id=144.37834; бонусная ; 3; 2025-01-25 14:09:15 ; 0; --
Слоним. 30% мульти2; Id=144.37834; бонусная ; 3; 2025-01-25 14:09:27 ; 0; --
Слоним. 30% мульти2; Id=144.37834; бонусная ; 4; 2025-01-26 13:06:33 ; 0; --
Слоним. 30% мульти2; Id=144.37834; бонусная ; 4; 2025-01-26 13:06:46 ; 0; --
Слоним. 30% мульти2; Id=144.37834; бонусная ; 4; 2025-01-26 13:06:56 ; 0; --
Слоним. 30% мульти2; Id=144.37834; бонусная ; 4; 2025-01-26 13:07:06 ; 0; --
Данько 30% 701; Id=171.46067; бонусная ; 4; 2025-01-25 13:40:53 ; 0; --
Данько 30% 701; Id=171.46067; бонусная ; 4; 2025-01-25 13:41:20 ; 0; --
Данько 30% 701; Id=171.46067; бонусная ; 4; 2025-01-25 13:45:01 ; 0; --
Данько 30% 701; Id=171.46067; бонусная ; 4; 2025-01-25 13:48:00 ; 0; --
Данько 30% 701; Id=171.46067; бонусная ; 4; 2025-01-25 13:49:24 ; 0; --
Данько 30% 701; Id=171.46067; бонусная ; 2; 2025-01-25 18:40:23 ; 0; --
Слоним. БН 922; Id=171.52285; безналичная ; 4; 2025-01-30 17:22:57 ; 180; 18000
Слоним. 15% 116; Id=172.05507; бонусная ; 4; 2025-01-27 13:41:42 ; 0; --
Слоним. 15% 116; Id=172.05507; бонусная ; 4; 2025-01-27 13:41:45 ; 0; --
Слоним. 15% 116; Id=172.05507; бонусная ; 4; 2025-01-27 13:41:53 ; 0; --
Слоним. 15% 116; Id=172.05507; бонусная ; 4; 2025-01-27 13:41:59 ; 0; --
Слоним. 15% 116; Id=172.05507; бонусная ; 4; 2025-01-27 13:42:21 ; 0; --
Слоним. 15% 116; Id=172.05507; бонусная ; 4; 2025-01-27 13:43:42 ; 0; --
Слоним. 15% 116; Id=172.05507; бонусная ; 4; 2025-01-27 13:54:01 ; 0; --
Слоним. 15% 131; Id=172.08773; бонусная ; 3; 2025-01-28 10:08:03 ; 0; --
Слоним. 15% 131; Id=172.08773; бонусная ; 3; 2025-01-28 19:01:50 ; 0; --
Слоним. 15% 131; Id=172.08773; бонусная ; 3; 2025-01-28 19:01:54 ; 0; --
Слоним. 15% 130; Id=172.08776; бонусная ; 3; 2025-01-28 10:09:42 ; 0; --
Слоним. 15% 130; Id=172.08776; бонусная ; 3; 2025-01-28 15:38:15 ; 0; --
Слоним. 15% 130; Id=172.08776; бонусная ; 3; 2025-01-28 15:41:16 ; 0; --
Слоним. 15% 130; Id=172.08776; бонусная ; 2; 2025-01-30 12:53:41 ; 0; --
Слоним. 15% 130; Id=172.08776; бонусная ; 2; 2025-01-30 12:53:49 ; 0; --
Слоним. 15% 130; Id=172.08776; бонусная ; 2; 2025-01-30 12:57:15 ; 0; --
Слоним. 15% 130; Id=172.08776; бонусная ; 2; 2025-01-30 12:57:22 ; 0; --
Слоним. 15% 130; Id=172.08776; бонусная ; 2; 2025-01-30 13:00:23 ; 0; --
Слоним. 15% 130; Id=172.08776; бонусная ; 2; 2025-01-30 13:01:45 ; 0; --
Слоним. 40% 920; Id=172.12140; бонусная ; 3; 2025-01-19 14:47:42 ; 0; --
Слоним. 40% 920; Id=172.12140; бонусная ; 3; 2025-01-19 14:47:57 ; 0; --
Слоним. 40% 920; Id=172.12140; бонусная ; 4; 2025-01-19 14:59:04 ; 0; --
Слоним. 40% 920; Id=172.12140; бонусная ; 4; 2025-01-19 14:59:10 ; 0; --
Слоним. 40% 920; Id=172.12140; бонусная ; 4; 2025-01-20 11:28:29 ; 0; --
Слоним. 40% 920; Id=172.12140; бонусная ; 4; 2025-01-20 11:28:36 ; 0; --
Слоним. 40% 920; Id=172.12140; бонусная ; 4; 2025-01-20 17:21:08 ; 0; --
Дед Слоним. 40% 920; Id=172.12140; бонусная ; 4; 2025-01-22 18:29:19 ; 0; --
Дед Слоним. 40% 920; Id=172.12140; бонусная ; 4; 2025-01-22 18:29:27 ; 0; --
МОКсервис БН 930; Id=172.12194; безналичная ; 2; 2025-01-24 15:50:44 ; 180; 18000
МОКсервис БН 930; Id=172.12194; безналичная ; 2; 2025-01-24 15:55:17 ; 180; 17820
МОКсервис БН 930; Id=172.12194; безналичная ; 2; 2025-01-24 15:58:37 ; 180; 17640
МОКсервис БН 930; Id=172.12194; безналичная ; 2; 2025-01-29 09:12:58 ; 180; 17460
МОКсервис БН 930; Id=172.12194; безналичная ; 2; 2025-01-29 09:24:53 ; 180; 17280
МОКсервис БН 930; Id=172.12194; безналичная ; 2; 2025-01-29 09:28:15 ; 180; 17100
Такси 30% 818; Id=172.29380; бонусная ; 4; 2025-01-22 22:02:48 ; 0; --
Такси 30% 818; Id=172.29380; бонусная ; 4; 2025-01-22 22:02:59 ; 0; --
Такси 30% 818; Id=172.29380; бонусная ; 4; 2025-01-26 15:56:52 ; 0; --
Такси 30% 818; Id=172.29380; бонусная ; 4; 2025-01-26 15:58:27 ; 0; --
Такси 30% 818; Id=172.29380; бонусная ; 4; 2025-01-26 15:58:35 ; 0; --
Такси 30% 818; Id=172.29380; бонусная ; 4; 2025-01-27 20:56:39 ; 0; --
Такси 30% 818; Id=172.29380; бонусная ; 4; 2025-01-27 20:56:49 ; 0; --
Такси 30% 818; Id=172.29380; бонусная ; 3; 2025-01-30 15:04:11 ; 0; --
Такси 30% 818; Id=172.29380; бонусная ; 3; 2025-01-30 15:08:05 ; 0; --
Такси 30% 818; Id=172.29380; бонусная ; 3; 2025-01-30 15:08:24 ; 0; --
Такси 30% 818; Id=172.29380; бонусная ; 3; 2025-01-30 15:08:28 ; 0; --
Такси 30% 818; Id=172.29380; бонусная ; 2; 2025-01-30 15:28:08 ; 0; --
Такси 30% 818; Id=172.29380; бонусная ; 4; 2025-01-31 20:58:20 ; 0; --
Слоним. 15% 013; Id=172.29546; безналичная ; 3; 2025-01-23 12:10:01 ; 180; 7047
ДЕД 15% 013; Id=172.29546; безналичная ; 3; 2025-01-27 13:36:54 ; 180; 6894
ДЕД 15% 013; Id=172.29546; безналичная ; 3; 2025-01-27 13:42:05 ; 180; 6741
ДЕД 15% 013; Id=172.29546; безналичная ; 3; 2025-01-27 13:47:12 ; 180; 6588
Слоним. БН 1000; Id=172.45410; безналичная ; 2; 2025-01-24 18:03:47 ; 180; 18000
Слоним. БН 1000; Id=172.45410; безналичная ; 4; 2025-01-26 13:31:03 ; 180; 17820
Слоним. БН 999; Id=172.45417; безналичная ; 4; 2025-01-23 14:51:21 ; 180; 18000
Слоним. БН 999; Id=172.45417; безналичная ; 4; 2025-01-23 14:57:25 ; 180; 17820
ИП Ермола БН 999; Id=172.45417; безналичная ; 4; 2025-01-30 14:58:21 ; 180; 17640
Слоним. 15% 001; Id=172.51688; безналичная ; 4; 2025-01-22 18:20:16 ; 180; 36457
Слоним. 15% 001; Id=172.51688; безналичная ; 4; 2025-01-22 18:20:37 ; 180; 36304
Слоним. 15% 001; Id=172.51688; безналичная ; 4; 2025-01-22 18:37:52 ; 180; 36151
Слоним. 15% 001; Id=172.51688; безналичная ; 3; 2025-01-23 19:04:25 ; 180; 35998
Слоним. 15% 001; Id=172.51688; безналичная ; 3; 2025-01-23 19:07:21 ; 180; 35845
